route_id,time_category,counts,counts_average,time_category_duration,frequency,route_no
139,peak_2,2,2,240,120,R81UP
140,non_peak_1,4,4,480,120,R82DOWN
140,non_peak_2,10,10,300,30,R82DOWN
140,non_peak_3,5,5,180,36,R82DOWN
140,peak_1,8,8,240,30,R82DOWN
140,peak_2,8,8,240,30,R82DOWN
141,non_peak_1,4,4,480,120,R82UP
141,non_peak_2,10,10,300,30,R82UP
141,non_peak_3,5,5,180,36,R82UP
141,peak_1,8,8,240,30,R82UP
141,peak_2,8,8,240,30,R82UP
142,non_peak_1,4,4,480,120,R83DOWN
142,non_peak_2,10,10,300,30,R83DOWN
142,non_peak_3,5,5,180,36,R83DOWN
142,peak_1,8,8,240,30,R83DOWN
142,peak_2,8,8,240,30,R83DOWN
143,non_peak_1,4,4,480,120,R83UP
143,non_peak_2,10,10,300,30,R83UP
143,non_peak_3,5,5,180,36,R83UP
143,peak_1,8,8,240,30,R83UP
143,peak_2,8,8,240,30,R83UP
144,non_peak_1,4,4,480,120,R84DOWN
144,non_peak_2,10,10,300,30,R84DOWN
144,non_peak_3,5,5,180,36,R84DOWN
144,peak_1,8,8,240,30,R84DOWN
144,peak_2,8,8,240,30,R84DOWN
145,non_peak_1,4,4,480,120,R84UP
145,non_peak_2,10,10,300,30,R84UP
145,non_peak_3,5,5,180,36,R84UP
145,peak_1,8,8,240,30,R84UP
145,peak_2,8,8,240,30,R84UP
146,non_peak_1,4,4,480,120,R85DOWN
146,non_peak_2,10,10,300,30,R85DOWN
146,non_peak_3,5,5,180,36,R85DOWN
146,peak_1,8,8,240,30,R85DOWN
146,peak_2,8,8,240,30,R85DOWN
147,non_peak_1,4,4,480,120,R85UP
147,non_peak_2,10,10,300,30,R85UP
147,non_peak_3,5,5,180,36,R85UP
147,peak_1,8,8,240,30,R85UP
147,peak_2,8,8,240,30,R85UP
148,non_peak_1,4,4,480,120,R86DOWN
148,non_peak_2,10,10,300,30,R86DOWN
148,non_peak_3,5,5,180,36,R86DOWN
148,peak_1,8,8,240,30,R86DOWN
148,peak_2,8,8,240,30,R86DOWN
149,non_peak_1,4,4,480,120,R86UP
149,non_peak_2,10,10,300,30,R86UP
149,non_peak_3,5,5,180,36,R86UP
149,peak_1,8,8,240,30,R86UP
149,peak_2,8,8,240,30,R86UP
150,non_peak_1,4,4,480,120,R87DOWN
150,non_peak_2,10,10,300,30,R87DOWN
150,non_peak_3,5,5,180,36,R87DOWN
150,peak_1,8,8,240,30,R87DOWN
150,peak_2,8,8,240,30,R87DOWN
151,non_peak_1,4,4,480,120,R87UP
151,non_peak_2,10,10,300,30,R87UP
151,non_peak_3,5,5,180,36,R87UP
151,peak_1,8,8,240,30,R87UP
151,peak_2,8,8,240,30,R87UP
152,non_peak_1,4,4,480,120,R88DOWN
152,non_peak_2,10,10,300,30,R88DOWN
152,non_peak_3,5,5,180,36,R88DOWN
152,peak_1,8,8,240,30,R88DOWN
152,peak_2,8,8,240,30,R88DOWN
153,non_peak_1,4,4,480,120,R88UP
153,non_peak_2,10,10,300,30,R88UP
